Company,Date,Close,High,Low,Open,Volume,20_SMA,50_SMA
ITC,2020-07-29,161.04505920410156,162.27316084392882,158.3432330979024,158.38417231780917,14831635,160.62272872924805,154.26235656738282
ITC,2020-07-30,158.3023223876953,162.43692166579655,157.606393057555,162.43692166579655,16315231,160.52312469482422,154.69128967285155
ITC,2020-07-31,158.95729064941406,161.24974963941958,158.42511824677726,158.42511824677726,16652851,160.39007949829102,154.92774658203126
ITC,2020-08-03,157.6882781982422,158.83450156287705,157.11515402302703,158.83450156287705,13265411,160.0953369140625,155.17931549072264
ITC,2020-08-04,158.54791259765625,160.30819906488264,157.6882514663618,157.6882514663618,17187619,160.0707748413086,155.36475616455078
ITC,2020-08-05,157.85198974609375,159.32571411731556,156.95137693787623,159.24383568278847,48768332,159.92749557495117,155.5292706298828
ITC,2020-08-06,159.9397735595703,160.14445716407815,158.0976211189999,158.99822148309687,17886089,159.92340240478515,155.75890197753907
ITC,2020-08-07,160.5128936767578,161.29068891660887,158.95729070415925,160.06258722435044,20911818,159.9929946899414,155.8956497192383
ITC,2020-08-10,162.8053741455078,163.4603518068025,160.799464455874,160.799464455874,16474505,160.04621429443358,156.02841094970702
ITC,2020-08-11,166.24403381347656,170.05114403726986,163.74689122373533,163.74689122373533,55142972,160.3389114379883,156.2813397216797
ITC,2020-08-12,167.18556213378906,167.75867371573227,164.0743689123745,165.79371615109966,21287010,160.5640640258789,156.56166412353517
ITC,2020-08-13,164.93405151367188,167.1855712383365,161.37256417221283,166.61245962518294,22698888,160.87518310546875,156.74322875976563
ITC,2020-08-14,160.79946899414062,166.48968440719426,160.06261285793863,165.05689887010274,28751298,160.97138595581055,156.84443786621094
ITC,2020-08-17,162.7234649658203,163.33751577701207,161.1678745746261,162.1503533739538,11740766,161.21905212402345,157.02072479248048
ITC,2020-08-18,162.5597381591797,163.66502224310304,161.49538080611134,163.66502224310304,12488159,161.47695388793946,157.1804998779297
ITC,2020-08-19,162.4778289794922,165.138715612416,162.19127945322185,162.60064662751782,15474353,161.55473251342772,157.33007110595702
ITC,2020-08-20,160.30821228027344,161.45443554508807,159.28479418922583,161.2906911490998,16910449,161.35414199829103,157.51100463867186
ITC,2020-08-21,161.12693786621094,163.0918954954871,160.7175706523704,162.10941668084902,17233813,161.23951721191406,157.71376373291017
ITC,2020-08-24,161.04505920410156,162.9281508837492,160.75850965054607,161.49536563728407,14737317,161.2517967224121,158.01923034667968
ITC,2020-08-25,159.98068237304688,162.3550194152195,159.7350720694552,161.4953458739655,15199264,161.2517967224121,158.33767181396485
